Hindi Sentence,English Sentence,Roman Hindi,Topic/Tense,Situation,Level,Accepted Answers,Explanation
शिक्षक को कब सवाल पूछना करना है?,When does The teacher have to ask questions?,shikshak ko kab sawal poochhna करना है,Use of have to/has to,Question Word,Beginner,,Practice Question Word sentences for Use of have to/has to.
छात्र को कब कम्युनिकेशन सुधारना करना है?,When does The student have to improve communication?,chhatra ko kab communication sudharna करना है,Use of have to/has to,Question Word,Beginner,,Practice Question Word sentences for Use of have to/has to.
मैं को क्यों अंग्रेजी बोलना नहीं करना है?,Why do i not have to speak English?,main ko kyon angrezi bolna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
आप को क्यों अंग्रेजी सीखना नहीं करना है?,Why do you not have to learn English?,aap ko kyon angrezi seekhna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
वह को क्यों रोज अभ्यास करना नहीं करना है?,Why does he not have to practice daily?,vah ko kyon roz abhyas karna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
वह को क्यों क्लास जाना नहीं करना है?,Why does she not have to go to class?,vah ko kyon class jana nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
हम को क्यों होमवर्क पूरा करना नहीं करना है?,Why do we not have to finish homework?,hum ko kyon homework poora karna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
वे को क्यों शिक्षक को फोन करना नहीं करना है?,Why do they not have to call the teacher?,ve ko kyon shikshak ko phone karna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
मेरा भाई को क्यों लेसन पढ़ना नहीं करना है?,Why does My brother not have to read the lesson?,mera bhai ko kyon lesson padhna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
मेरी बहन को क्यों वाक्य लिखना नहीं करना है?,Why does My sister not have to write sentences?,meri bahan ko kyon vakya likhna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
शिक्षक को क्यों सवाल पूछना नहीं करना है?,Why does The teacher not have to ask questions?,shikshak ko kyon sawal poochhna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
छात्र को क्यों कम्युनिकेशन सुधारना नहीं करना है?,Why does The student not have to improve communication?,chhatra ko kyon communication sudharna nahi करना है,Use of have to/has to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of have to/has to.
मैं अंग्रेजी बोलना वाला/वाली है।,I am going to speak English.,main angrezi bolna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
आप अंग्रेजी सीखना वाला/वाली है।,You are going to learn English.,aap angrezi seekhna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
वह रोज अभ्यास करना वाला/वाली है।,He is going to practice daily.,vah roz abhyas karna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
वह क्लास जाना वाला/वाली है।,She is going to go to class.,vah class jana wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
हम होमवर्क पूरा करना वाला/वाली है।,We are going to finish homework.,hum homework poora karna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
वे शिक्षक को फोन करना वाला/वाली है।,They are going to call the teacher.,ve shikshak ko phone karna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
मेरा भाई लेसन पढ़ना वाला/वाली है।,My brother is going to read the lesson.,mera bhai lesson padhna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
मेरी बहन वाक्य लिखना वाला/वाली है।,My sister is going to write sentences.,meri bahan vakya likhna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
शिक्षक सवाल पूछना वाला/वाली है।,The teacher is going to ask questions.,shikshak sawal poochhna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
छात्र कम्युनिकेशन सुधारना वाला/वाली है।,The student is going to improve communication.,chhatra communication sudharna wala/wali hai,Use of going to,Simple,Beginner,,Practice Simple sentences for Use of going to.
मैं अंग्रेजी बोलना वाला/वाली नहीं है।,I am not going to speak English.,main angrezi bolna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
आप अंग्रेजी सीखना वाला/वाली नहीं है।,You are not going to learn English.,aap angrezi seekhna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
वह रोज अभ्यास करना वाला/वाली नहीं है।,He is not going to practice daily.,vah roz abhyas karna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
वह क्लास जाना वाला/वाली नहीं है।,She is not going to go to class.,vah class jana wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
हम होमवर्क पूरा करना वाला/वाली नहीं है।,We are not going to finish homework.,hum homework poora karna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
वे शिक्षक को फोन करना वाला/वाली नहीं है।,They are not going to call the teacher.,ve shikshak ko phone karna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
मेरा भाई लेसन पढ़ना वाला/वाली नहीं है।,My brother is not going to read the lesson.,mera bhai lesson padhna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
मेरी बहन वाक्य लिखना वाला/वाली नहीं है।,My sister is not going to write sentences.,meri bahan vakya likhna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
शिक्षक सवाल पूछना वाला/वाली नहीं है।,The teacher is not going to ask questions.,shikshak sawal poochhna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
छात्र कम्युनिकेशन सुधारना वाला/वाली नहीं है।,The student is not going to improve communication.,chhatra communication sudharna wala/wali nahi hai,Use of going to,Negative,Beginner,,Practice Negative sentences for Use of going to.
क्या मैं अंग्रेजी बोलना वाला/वाली है?,Am i going to speak English?,kya main angrezi bolna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या आप अंग्रेजी सीखना वाला/वाली है?,Are you going to learn English?,kya aap angrezi seekhna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या वह रोज अभ्यास करना वाला/वाली है?,Is he going to practice daily?,kya vah roz abhyas karna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या वह क्लास जाना वाला/वाली है?,Is she going to go to class?,kya vah class jana wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या हम होमवर्क पूरा करना वाला/वाली है?,Are we going to finish homework?,kya hum homework poora karna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या वे शिक्षक को फोन करना वाला/वाली है?,Are they going to call the teacher?,kya ve shikshak ko phone karna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या मेरा भाई लेसन पढ़ना वाला/वाली है?,Is My brother going to read the lesson?,kya mera bhai lesson padhna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या मेरी बहन वाक्य लिखना वाला/वाली है?,Is My sister going to write sentences?,kya meri bahan vakya likhna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या शिक्षक सवाल पूछना वाला/वाली है?,Is The teacher going to ask questions?,kya shikshak sawal poochhna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
क्या छात्र कम्युनिकेशन सुधारना वाला/वाली है?,Is The student going to improve communication?,kya chhatra communication sudharna wala/wali hai,Use of going to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of going to.
मैं कब अंग्रेजी बोलना वाला/वाली है?,When am i going to speak English?,main kab angrezi bolna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
आप कब अंग्रेजी सीखना वाला/वाली है?,When are you going to learn English?,aap kab angrezi seekhna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
वह कब रोज अभ्यास करना वाला/वाली है?,When is he going to practice daily?,vah kab roz abhyas karna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
वह कब क्लास जाना वाला/वाली है?,When is she going to go to class?,vah kab class jana wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
हम कब होमवर्क पूरा करना वाला/वाली है?,When are we going to finish homework?,hum kab homework poora karna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
वे कब शिक्षक को फोन करना वाला/वाली है?,When are they going to call the teacher?,ve kab shikshak ko phone karna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
मेरा भाई कब लेसन पढ़ना वाला/वाली है?,When is My brother going to read the lesson?,mera bhai kab lesson padhna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
मेरी बहन कब वाक्य लिखना वाला/वाली है?,When is My sister going to write sentences?,meri bahan kab vakya likhna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
शिक्षक कब सवाल पूछना वाला/वाली है?,When is The teacher going to ask questions?,shikshak kab sawal poochhna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
छात्र कब कम्युनिकेशन सुधारना वाला/वाली है?,When is The student going to improve communication?,chhatra kab communication sudharna wala/wali hai,Use of going to,Question Word,Beginner,,Practice Question Word sentences for Use of going to.
मैं अंग्रेजी बोलना क्यों नहीं वाला/वाली है?,Why am i not going to speak English?,main angrezi bolna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
आप अंग्रेजी सीखना क्यों नहीं वाला/वाली है?,Why are you not going to learn English?,aap angrezi seekhna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
वह रोज अभ्यास करना क्यों नहीं वाला/वाली है?,Why is he not going to practice daily?,vah roz abhyas karna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
वह क्लास जाना क्यों नहीं वाला/वाली है?,Why is she not going to go to class?,vah class jana kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
हम होमवर्क पूरा करना क्यों नहीं वाला/वाली है?,Why are we not going to finish homework?,hum homework poora karna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
वे शिक्षक को फोन करना क्यों नहीं वाला/वाली है?,Why are they not going to call the teacher?,ve shikshak ko phone karna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
मेरा भाई लेसन पढ़ना क्यों नहीं वाला/वाली है?,Why is My brother not going to read the lesson?,mera bhai lesson padhna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
मेरी बहन वाक्य लिखना क्यों नहीं वाला/वाली है?,Why is My sister not going to write sentences?,meri bahan vakya likhna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
शिक्षक सवाल पूछना क्यों नहीं वाला/वाली है?,Why is The teacher not going to ask questions?,shikshak sawal poochhna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
छात्र कम्युनिकेशन सुधारना क्यों नहीं वाला/वाली है?,Why is The student not going to improve communication?,chhatra communication sudharna kyon nahi wala/wali hai,Use of going to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of going to.
मैं अभी अंग्रेजी बोलना ही वाला/वाली है।,I am about to speak English.,main abhi angrezi bolna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
आप अभी अंग्रेजी सीखना ही वाला/वाली है।,You are about to learn English.,aap abhi angrezi seekhna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
वह अभी रोज अभ्यास करना ही वाला/वाली है।,He is about to practice daily.,vah abhi roz abhyas karna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
वह अभी क्लास जाना ही वाला/वाली है।,She is about to go to class.,vah abhi class jana hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
हम अभी होमवर्क पूरा करना ही वाला/वाली है।,We are about to finish homework.,hum abhi homework poora karna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
वे अभी शिक्षक को फोन करना ही वाला/वाली है।,They are about to call the teacher.,ve abhi shikshak ko phone karna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
मेरा भाई अभी लेसन पढ़ना ही वाला/वाली है।,My brother is about to read the lesson.,mera bhai abhi lesson padhna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
मेरी बहन अभी वाक्य लिखना ही वाला/वाली है।,My sister is about to write sentences.,meri bahan abhi vakya likhna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
शिक्षक अभी सवाल पूछना ही वाला/वाली है।,The teacher is about to ask questions.,shikshak abhi sawal poochhna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
छात्र अभी कम्युनिकेशन सुधारना ही वाला/वाली है।,The student is about to improve communication.,chhatra abhi communication sudharna hi wala/wali hai,Use of about to,Simple,Beginner,,Practice Simple sentences for Use of about to.
मैं अभी अंग्रेजी बोलना वाला/वाली नहीं है।,I am not about to speak English.,main abhi angrezi bolna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
आप अभी अंग्रेजी सीखना वाला/वाली नहीं है।,You are not about to learn English.,aap abhi angrezi seekhna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
वह अभी रोज अभ्यास करना वाला/वाली नहीं है।,He is not about to practice daily.,vah abhi roz abhyas karna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
वह अभी क्लास जाना वाला/वाली नहीं है।,She is not about to go to class.,vah abhi class jana wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
हम अभी होमवर्क पूरा करना वाला/वाली नहीं है।,We are not about to finish homework.,hum abhi homework poora karna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
वे अभी शिक्षक को फोन करना वाला/वाली नहीं है।,They are not about to call the teacher.,ve abhi shikshak ko phone karna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
मेरा भाई अभी लेसन पढ़ना वाला/वाली नहीं है।,My brother is not about to read the lesson.,mera bhai abhi lesson padhna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
मेरी बहन अभी वाक्य लिखना वाला/वाली नहीं है।,My sister is not about to write sentences.,meri bahan abhi vakya likhna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
शिक्षक अभी सवाल पूछना वाला/वाली नहीं है।,The teacher is not about to ask questions.,shikshak abhi sawal poochhna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
छात्र अभी कम्युनिकेशन सुधारना वाला/वाली नहीं है।,The student is not about to improve communication.,chhatra abhi communication sudharna wala/wali nahi hai,Use of about to,Negative,Beginner,,Practice Negative sentences for Use of about to.
क्या मैं अभी अंग्रेजी बोलना ही वाला/वाली है?,Am i about to speak English?,kya main abhi angrezi bolna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या आप अभी अंग्रेजी सीखना ही वाला/वाली है?,Are you about to learn English?,kya aap abhi angrezi seekhna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या वह अभी रोज अभ्यास करना ही वाला/वाली है?,Is he about to practice daily?,kya vah abhi roz abhyas karna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या वह अभी क्लास जाना ही वाला/वाली है?,Is she about to go to class?,kya vah abhi class jana hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या हम अभी होमवर्क पूरा करना ही वाला/वाली है?,Are we about to finish homework?,kya hum abhi homework poora karna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या वे अभी शिक्षक को फोन करना ही वाला/वाली है?,Are they about to call the teacher?,kya ve abhi shikshak ko phone karna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या मेरा भाई अभी लेसन पढ़ना ही वाला/वाली है?,Is My brother about to read the lesson?,kya mera bhai abhi lesson padhna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या मेरी बहन अभी वाक्य लिखना ही वाला/वाली है?,Is My sister about to write sentences?,kya meri bahan abhi vakya likhna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या शिक्षक अभी सवाल पूछना ही वाला/वाली है?,Is The teacher about to ask questions?,kya shikshak abhi sawal poochhna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
क्या छात्र अभी कम्युनिकेशन सुधारना ही वाला/वाली है?,Is The student about to improve communication?,kya chhatra abhi communication sudharna hi wala/wali hai,Use of about to,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of about to.
मैं अभी क्या करने वाला/वाली है?,What am i about to do?,main abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
आप अभी क्या करने वाला/वाली है?,What are you about to do?,aap abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
वह अभी क्या करने वाला/वाली है?,What is he about to do?,vah abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
वह अभी क्या करने वाला/वाली है?,What is she about to do?,vah abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
हम अभी क्या करने वाला/वाली है?,What are we about to do?,hum abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
वे अभी क्या करने वाला/वाली है?,What are they about to do?,ve abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
मेरा भाई अभी क्या करने वाला/वाली है?,What is My brother about to do?,mera bhai abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
मेरी बहन अभी क्या करने वाला/वाली है?,What is My sister about to do?,meri bahan abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
शिक्षक अभी क्या करने वाला/वाली है?,What is The teacher about to do?,shikshak abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
छात्र अभी क्या करने वाला/वाली है?,What is The student about to do?,chhatra abhi kya karne wala/wali hai,Use of about to,Question Word,Beginner,,Practice Question Word sentences for Use of about to.
मैं अभी अंग्रेजी बोलना क्यों नहीं वाला/वाली है?,Why am i not about to speak English?,main abhi angrezi bolna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
आप अभी अंग्रेजी सीखना क्यों नहीं वाला/वाली है?,Why are you not about to learn English?,aap abhi angrezi seekhna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
वह अभी रोज अभ्यास करना क्यों नहीं वाला/वाली है?,Why is he not about to practice daily?,vah abhi roz abhyas karna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
वह अभी क्लास जाना क्यों नहीं वाला/वाली है?,Why is she not about to go to class?,vah abhi class jana kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
हम अभी होमवर्क पूरा करना क्यों नहीं वाला/वाली है?,Why are we not about to finish homework?,hum abhi homework poora karna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
वे अभी शिक्षक को फोन करना क्यों नहीं वाला/वाली है?,Why are they not about to call the teacher?,ve abhi shikshak ko phone karna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
मेरा भाई अभी लेसन पढ़ना क्यों नहीं वाला/वाली है?,Why is My brother not about to read the lesson?,mera bhai abhi lesson padhna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
मेरी बहन अभी वाक्य लिखना क्यों नहीं वाला/वाली है?,Why is My sister not about to write sentences?,meri bahan abhi vakya likhna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
शिक्षक अभी सवाल पूछना क्यों नहीं वाला/वाली है?,Why is The teacher not about to ask questions?,shikshak abhi sawal poochhna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
छात्र अभी कम्युनिकेशन सुधारना क्यों नहीं वाला/वाली है?,Why is The student not about to improve communication?,chhatra abhi communication sudharna kyon nahi wala/wali hai,Use of about to,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of about to.
वहाँ दिल्ली में एक मौका है।,There is an opportunity in the Delhi.,wahan Delhi mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ स्कूल में एक मौका है।,There is an opportunity in the school.,wahan school mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ ऑफिस में एक मौका है।,There is an opportunity in the office.,wahan office mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ बाजार में एक मौका है।,There is an opportunity in the market.,wahan bazaar mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ क्लास में एक मौका है।,There is an opportunity in the class.,wahan class mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ घर में एक मौका है।,There is an opportunity in the home.,wahan ghar mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ इंटरव्यू में एक मौका है।,There is an opportunity in the interview.,wahan interview mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ मीटिंग में एक मौका है।,There is an opportunity in the meeting.,wahan meeting mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ दुकान में एक मौका है।,There is an opportunity in the shop.,wahan dukan mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ स्टेशन में एक मौका है।,There is an opportunity in the station.,wahan station mein ek mauka hai,Use of there is/there are,Simple,Beginner,,Practice Simple sentences for Use of there is/there are.
वहाँ दिल्ली में कोई मौका नहीं है।,There is no opportunity in the Delhi.,wahan Delhi mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ स्कूल में कोई मौका नहीं है।,There is no opportunity in the school.,wahan school mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ ऑफिस में कोई मौका नहीं है।,There is no opportunity in the office.,wahan office mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ बाजार में कोई मौका नहीं है।,There is no opportunity in the market.,wahan bazaar mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ क्लास में कोई मौका नहीं है।,There is no opportunity in the class.,wahan class mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ घर में कोई मौका नहीं है।,There is no opportunity in the home.,wahan ghar mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ इंटरव्यू में कोई मौका नहीं है।,There is no opportunity in the interview.,wahan interview mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ मीटिंग में कोई मौका नहीं है।,There is no opportunity in the meeting.,wahan meeting mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ दुकान में कोई मौका नहीं है।,There is no opportunity in the shop.,wahan dukan mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
वहाँ स्टेशन में कोई मौका नहीं है।,There is no opportunity in the station.,wahan station mein koi mauka nahi hai,Use of there is/there are,Negative,Beginner,,Practice Negative sentences for Use of there is/there are.
क्या वहाँ दिल्ली में कोई मौका है?,Is there any opportunity in the Delhi?,kya wahan Delhi mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
क्या वहाँ स्कूल में कोई मौका है?,Is there any opportunity in the school?,kya wahan school mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
क्या वहाँ ऑफिस में कोई मौका है?,Is there any opportunity in the office?,kya wahan office mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
क्या वहाँ बाजार में कोई मौका है?,Is there any opportunity in the market?,kya wahan bazaar mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
क्या वहाँ क्लास में कोई मौका है?,Is there any opportunity in the class?,kya wahan class mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
क्या वहाँ घर में कोई मौका है?,Is there any opportunity in the home?,kya wahan ghar mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
क्या वहाँ इंटरव्यू में कोई मौका है?,Is there any opportunity in the interview?,kya wahan interview mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
क्या वहाँ मीटिंग में कोई मौका है?,Is there any opportunity in the meeting?,kya wahan meeting mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
क्या वहाँ दुकान में कोई मौका है?,Is there any opportunity in the shop?,kya wahan dukan mein koi mauka hai,Use of there is/there are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of there is/there are.
